step,tokens,train_loss,val_loss,lr,tok_per_sec
2210,579338240,3.3985,,2.992802e-04,124248
2220,581959680,3.4528,,2.992683e-04,124631
2230,584581120,3.4636,,2.992562e-04,124861
2240,587202560,3.4433,,2.992441e-04,124578
2250,589824000,3.4473,,2.992318e-04,124505
2260,592445440,3.4459,,2.992195e-04,124369
2270,595066880,3.4047,,2.992071e-04,124542
2280,597688320,3.4016,,2.991945e-04,124588
2290,600309760,3.4115,,2.991819e-04,124817
2300,602931200,3.4097,,2.991692e-04,124820
2310,605552640,3.4321,,2.991564e-04,124214
2320,608174080,3.4073,,2.991434e-04,124362
2330,610795520,3.4290,,2.991304e-04,124579
2340,613416960,3.4099,,2.991173e-04,124868
2350,616038400,3.4300,,2.991041e-04,125491
2360,618659840,3.4011,,2.990907e-04,125424
2370,621281280,3.4289,,2.990773e-04,125168
2380,623902720,3.4038,,2.990638e-04,122025
2390,626524160,3.4191,,2.990502e-04,124291
2400,629145600,3.4110,,2.990365e-04,124870
2410,631767040,3.3886,,2.990227e-04,122688
2420,634388480,3.4230,,2.990088e-04,124908
2430,637009920,3.4037,,2.989948e-04,124839
2440,639631360,3.4226,,2.989807e-04,124625
2450,642252800,3.3928,,2.989665e-04,124434
2460,644874240,3.4286,,2.989522e-04,122246
2470,647495680,3.3977,,2.989378e-04,124466
2480,650117120,3.4093,,2.989233e-04,124892
2490,652738560,3.4307,,2.989087e-04,124479
2500,655360000,3.3525,,2.988940e-04,124704
2500,655360000,,3.3826,2.988940e-04,
2510,657981440,3.3876,,2.988792e-04,126958
2520,660602880,3.3904,,2.988644e-04,125341
2530,663224320,3.3821,,2.988494e-04,125019
2540,665845760,3.3777,,2.988343e-04,124847
2550,668467200,3.3768,,2.988191e-04,124906
2560,671088640,3.3850,,2.988039e-04,124864
2570,673710080,3.4113,,2.987885e-04,124825
2580,676331520,3.4026,,2.987730e-04,124266
2590,678952960,3.3535,,2.987574e-04,124172
2600,681574400,3.3543,,2.987418e-04,124404
2610,684195840,3.3797,,2.987260e-04,124626
2620,686817280,3.3719,,2.987102e-04,124562
2630,689438720,3.3896,,2.986942e-04,124827
2640,692060160,3.3452,,2.986781e-04,124835
2650,694681600,3.3883,,2.986620e-04,124530
2660,697303040,3.3672,,2.986457e-04,124427
2670,699924480,3.3669,,2.986294e-04,124194
2680,702545920,3.3662,,2.986130e-04,124478
2690,705167360,3.3650,,2.985964e-04,124256
2700,707788800,3.3733,,2.985798e-04,124411
2710,710410240,3.3607,,2.985630e-04,124816
2720,713031680,3.3706,,2.985462e-04,124832
2730,715653120,3.3464,,2.985293e-04,125047
2740,718274560,3.3588,,2.985122e-04,124826
2750,720896000,3.3639,,2.984951e-04,124929
2760,723517440,3.3552,,2.984779e-04,124763
2770,726138880,3.3453,,2.984606e-04,124920
2780,728760320,3.3507,,2.984431e-04,124874
